YSR,tshell,Dyolk,φMXene,Asurface,iontype,rion,Eads,ΔGformation,DOSFermi,dinterlayer,Ea,σmax,epsilon_void,Surface_Term,C_theoretical,CE_initial,Crate,Stability_mech,C_0.1C,Retention_200,sigma_eff
0.652,24.8,190.5,0.248,492,Li,0.76,-0.722,-1.282,0.448,10.02,0.348,1.048,44.8,O,3579,97.78,87.4,1,1782,91.75,22.45
0.822,17.8,210.5,0.148,382,Na,1.02,-0.482,-0.922,0.248,12.02,0.678,2.445,54.8,OH,3120,94.08,60.1,0,1082,74.05,6.05
0.602,29.8,175.5,0.352,592,Li,0.76,-0.702,-1.252,0.442,9.88,0.358,0.878,39.8,O,3579,98.42,90.6,1,1882,94.05,32.75
0.732,19.8,205.5,0.218,462,Na,1.02,-0.552,-1.052,0.308,11.48,0.578,1.815,49.8,F,3120,95.78,68.1,0,1322,80.25,12.45
0.562,37.8,165.5,0.398,612,Li,0.76,-0.782,-1.378,0.498,9.58,0.298,0.648,47.8,O,3579,98.92,93.3,1,1997,96.25,40.45
0.682,23.8,195.5,0.298,552,Li,0.76,-0.662,-1.182,0.388,10.22,0.398,1.118,43.8,O,3579,97.48,88.1,1,1822,92.55,26.75
0.752,16.3,215.5,0.188,402,K,1.38,-0.502,-0.952,0.268,12.08,0.638,2.275,59.8,F,2950,94.78,63.4,0,1152,76.85,9.15
0.592,31.8,172.5,0.362,597,Li,0.76,-0.732,-1.302,0.462,9.78,0.338,0.818,40.8,O,3579,98.58,91.9,1,1922,95.05,35.15
0.802,18.8,208.5,0.158,392,Na,1.02,-0.492,-0.932,0.258,11.88,0.658,2.375,56.8,OH,3120,94.48,61.7,0,1102,74.95,6.75
0.572,36.3,168.5,0.388,607,Li,0.76,-0.772,-1.358,0.488,9.68,0.308,0.678,45.8,O,3579,98.78,93.6,1,2007,96.45,39.75
0.632,26.8,182.5,0.328,587,Li,0.76,-0.692,-1.232,0.418,9.98,0.368,0.948,42.8,O,3579,97.98,88.9,1,1867,93.55,29.45
0.712,23.3,198.5,0.268,507,K,1.38,-0.602,-1.122,0.352,12.18,0.538,1.478,48.8,F,2950,95.98,71.6,0,1397,82.85,18.15
0.612,28.8,178.5,0.338,590,Li,0.76,-0.712,-1.262,0.432,9.88,0.358,0.898,40.8,O,3579,98.28,90.1,1,1892,94.25,31.45
0.772,16.8,218.5,0.168,412,Na,1.02,-0.512,-0.962,0.278,11.88,0.628,2.195,55.8,OH,3120,94.78,62.4,0,1122,76.25,7.45
0.542,36.8,162.5,0.408,617,Li,0.76,-0.792,-1.398,0.508,9.58,0.298,0.638,48.8,O,3579,99.08,93.9,1,2012,96.85,41.15
0.662,25.8,188.5,0.288,542,Li,0.76,-0.672,-1.192,0.398,10.08,0.388,1.078,43.8,O,3579,97.68,87.9,1,1807,92.05,25.75
0.742,20.8,202.5,0.238,482,K,1.38,-0.572,-1.082,0.328,12.38,0.568,1.675,50.8,F,2950,95.88,69.6,0,1342,81.05,15.15
0.642,27.8,185.5,0.308,577,Li,0.76,-0.702,-1.242,0.438,9.88,0.348,0.918,41.8,O,3579,98.18,89.6,1,1877,93.85,27.95
0.792,18.3,212.5,0.158,387,Na,1.02,-0.502,-0.942,0.268,11.98,0.648,2.345,57.8,OH,3120,94.58,60.9,0,1097,74.85,6.45
0.582,33.8,170.5,0.368,600,Li,0.76,-0.762,-1.338,0.488,9.68,0.318,0.698,46.8,O,3579,98.68,92.9,1,1977,95.95,37.15
0.692,22.8,196.5,0.278,522,Li,0.76,-0.682,-1.202,0.408,10.08,0.378,1.098,44.8,O,3579,97.88,88.3,1,1842,92.85,24.45
0.762,19.3,210.5,0.198,432,K,1.38,-0.532,-1.002,0.298,12.48,0.598,2.045,58.8,F,2950,95.48,66.9,0,1252,79.25,10.75
0.602,30.8,176.5,0.348,594,Li,0.76,-0.722,-1.272,0.452,9.78,0.338,0.848,39.8,O,3579,98.48,91.1,1,1907,94.85,33.75
0.812,15.8,220.5,0.138,372,Na,1.02,-0.472,-0.902,0.238,12.18,0.698,2.595,59.8,OH,3120,93.88,59.1,0,1052,72.95,5.15
0.552,38.8,164.5,0.398,610,Li,0.76,-0.812,-1.438,0.528,9.48,0.278,0.598,49.8,O,3579,99.18,94.3,1,2037,97.05,39.95
0.672,25.3,192.5,0.308,572,Li,0.76,-0.692,-1.222,0.418,9.98,0.368,1.018,42.8,O,3579,97.98,88.6,1,1837,92.85,27.15
0.722,22.3,199.5,0.258,502,K,1.38,-0.582,-1.092,0.338,12.28,0.558,1.578,49.8,F,2950,96.08,70.9,0,1367,81.55,16.75
0.592,32.8,174.5,0.368,597,Li,0.76,-0.742,-1.318,0.468,9.78,0.328,0.778,44.8,O,3579,98.58,92.3,1,1952,95.55,36.45
0.832,17.3,214.5,0.148,377,Na,1.02,-0.492,-0.912,0.248,12.08,0.668,2.495,58.8,OH,3120,94.28,60.4,0,1072,74.15,5.75
0.572,37.3,166.5,0.388,604,Li,0.76,-0.792,-1.388,0.508,9.58,0.298,0.658,47.8,O,3579,98.98,93.9,1,2017,96.75,39.15
0.642,27.3,184.5,0.328,584,Li,0.76,-0.712,-1.252,0.428,9.88,0.358,0.928,41.8,O,3579,98.28,89.9,1,1887,94.15,30.05
0.702,24.3,197.5,0.288,532,Li,0.76,-0.672,-1.172,0.398,10.22,0.388,1.148,45.8,O,3579,97.78,87.4,1,1812,92.15,24.95
0.772,20.3,206.5,0.208,442,K,1.38,-0.542,-1.022,0.308,12.38,0.588,1.945,54.8,F,2950,95.68,67.4,0,1282,79.85,11.45
0.612,30.3,177.5,0.338,590,Li,0.76,-0.732,-1.282,0.458,9.78,0.348,0.868,40.8,O,3579,98.38,90.9,1,1912,94.65,32.15
0.802,17.8,211.5,0.168,397,Na,1.02,-0.502,-0.942,0.268,11.88,0.648,2.315,56.8,OH,3120,94.68,62.1,0,1117,75.55,7.15
0.562,38.3,163.5,0.408,614,Li,0.76,-0.822,-1.448,0.538,9.48,0.268,0.578,50.8,O,3579,99.28,94.6,1,2042,97.25,41.75
0.682,23.6,194.5,0.298,550,Li,0.76,-0.682,-1.192,0.408,10.08,0.378,1.078,43.8,O,3579,97.88,88,1,1832,92.65,26.45
0.742,21.6,201.5,0.248,492,K,1.38,-0.562,-1.062,0.318,12.48,0.578,1.745,51.8,F,2950,95.98,69.1,0,1332,80.55,14.15
0.632,28.6,183.5,0.318,580,Li,0.76,-0.702,-1.242,0.438,9.88,0.358,0.938,42.8,O,3579,98.18,89.3,1,1872,93.95,28.95
0.792,19,209.5,0.178,407,Na,1.02,-0.512,-0.952,0.278,11.78,0.638,2.245,55.8,OH,3120,94.88,63.1,0,1137,76.85,7.95
0.582,35.3,169.5,0.378,602,Li,0.76,-0.772,-1.368,0.498,9.68,0.308,0.698,46.8,O,3579,98.88,93.1,1,1987,96.05,37.75
0.662,26.6,189.5,0.298,562,Li,0.76,-0.692,-1.212,0.418,9.98,0.368,0.998,43.8,O,3579,98.08,88.9,1,1847,93.05,27.75
0.712,23,198.5,0.268,512,K,1.38,-0.592,-1.112,0.348,12.28,0.548,1.518,48.8,F,2950,96.18,71.3,0,1377,82.05,17.45
0.602,31.3,176.5,0.348,592,Li,0.76,-0.722,-1.272,0.448,9.78,0.348,0.858,39.8,O,3579,98.48,91.3,1,1902,94.75,33.45
0.618,28,181,0.318,578,Li,0.76,-0.678,-1.208,0.412,10.12,0.382,0.912,42.2,O,3579,98.12,89.05,1,1852,93.25,28.65
0.776,15.2,219,0.178,422,Na,1.02,-0.518,-0.978,0.292,11.78,0.608,2.095,57.8,OH,3120,95.28,64.95,0,1208,78.45,8.22
0.552,34.8,161,0.418,618,Li,0.76,-0.748,-1.348,0.478,9.72,0.322,0.682,38.2,O,3579,98.68,92.55,1,1978,95.75,42.05
0.702,21.8,200.5,0.282,512,K,1.38,-0.588,-1.098,0.342,12.28,0.552,1.448,47.8,F,2950,96.22,71.95,0,1382,82.25,18.88
0.582,39.8,169.5,0.378,598,Li,0.76,-0.798,-1.418,0.518,9.52,0.292,0.622,51.8,O,3579,98.98,93.95,1,2018,96.45,38.38
0.652,24.8,191,0.248,492,Li,0.76,-0.718,-1.278,0.448,10.02,0.352,1.048,44.8,O,3579,97.78,87.45,1,1782,91.75,22.52
0.818,17.8,211,0.148,382,Na,1.02,-0.478,-0.918,0.252,11.98,0.678,2.445,54.8,OH,3120,94.08,60.15,0,1082,74.15,6.12
0.602,29.8,175.5,0.352,592,Li,0.76,-0.698,-1.248,0.438,9.92,0.362,0.882,40.2,O,3579,98.38,90.55,1,1882,93.95,32.82
0.732,19.8,206,0.218,462,Na,1.02,-0.548,-1.048,0.308,11.48,0.578,1.815,49.8,F,3120,95.78,68.05,0,1322,80.15,12.52
0.562,37.8,165.5,0.398,612,Li,0.76,-0.778,-1.378,0.498,9.62,0.302,0.652,47.8,O,3579,98.88,93.15,1,1993,96.15,40.52
0.682,23.8,196,0.298,552,Li,0.76,-0.658,-1.178,0.388,10.22,0.402,1.118,43.8,O,3579,97.48,87.95,1,1822,92.45,26.82
0.752,16.3,216,0.188,402,K,1.38,-0.498,-0.948,0.272,12.08,0.638,2.275,59.8,F,2950,94.78,63.45,0,1152,76.75,9.22
0.592,31.8,173,0.358,597,Li,0.76,-0.728,-1.298,0.458,9.82,0.342,0.822,41.2,O,3579,98.58,91.75,1,1922,94.95,35.22
0.802,18.8,209,0.158,392,Na,1.02,-0.488,-0.928,0.262,11.88,0.658,2.375,56.8,OH,3120,94.48,61.75,0,1102,74.95,6.82
0.572,36.3,168.5,0.388,607,Li,0.76,-0.768,-1.358,0.488,9.72,0.312,0.682,46.2,O,3579,98.78,93.45,1,2003,96.35,39.82
0.632,26.8,183,0.328,587,Li,0.76,-0.688,-1.228,0.418,10.02,0.372,0.952,43.2,O,3579,97.98,88.75,1,1867,93.45,29.52
0.712,23.3,199,0.268,507,K,1.38,-0.598,-1.118,0.348,12.18,0.542,1.482,48.8,F,2950,95.98,71.45,0,1397,82.75,18.22
0.612,28.8,179,0.338,590,Li,0.76,-0.708,-1.258,0.428,9.92,0.362,0.902,41.2,O,3579,98.28,89.95,1,1892,94.15,31.52
0.772,16.8,219,0.168,412,Na,1.02,-0.508,-0.958,0.278,11.88,0.628,2.195,55.8,OH,3120,94.78,62.45,0,1122,76.15,7.52
0.542,36.8,163,0.408,617,Li,0.76,-0.788,-1.398,0.508,9.62,0.302,0.642,48.8,O,3579,99.08,93.75,1,2012,96.75,41.22
0.662,25.8,189,0.288,542,Li,0.76,-0.668,-1.188,0.398,10.12,0.392,1.082,44.2,O,3579,97.68,87.75,1,1807,91.95,25.82
0.742,20.8,203,0.238,482,K,1.38,-0.568,-1.078,0.328,12.38,0.572,1.682,51.2,F,2950,95.88,69.45,0,1342,80.95,15.22
0.642,27.8,186,0.308,577,Li,0.76,-0.698,-1.238,0.438,9.92,0.352,0.922,42.2,O,3579,98.18,89.45,1,1877,93.75,28.02
0.792,18.3,213,0.158,387,Na,1.02,-0.498,-0.938,0.272,11.98,0.648,2.345,57.8,OH,3120,94.58,60.95,0,1097,74.75,6.52
0.582,33.8,171,0.368,600,Li,0.76,-0.758,-1.338,0.488,9.72,0.322,0.702,47.2,O,3579,98.68,92.75,1,1977,95.85,37.22
0.692,22.8,197,0.278,522,Li,0.76,-0.678,-1.198,0.408,10.12,0.382,1.102,45.2,O,3579,97.88,88.15,1,1842,92.75,24.52
0.762,19.3,211,0.198,432,K,1.38,-0.528,-0.998,0.302,12.48,0.602,2.052,59.2,F,2950,95.48,66.75,0,1252,79.15,10.82
0.602,30.8,177,0.348,594,Li,0.76,-0.718,-1.268,0.448,9.82,0.342,0.852,40.2,O,3579,98.48,90.95,1,1907,94.75,33.82
